,fund,n_months,cagr_net,beta,alpha_annual,sharpe,info_ratio,tracking_error,t_stat,p_value,expense_ratio,market_cagr
1,Invesco India Largecap,59,18.84,0.952,10.57,0.662,0.684,14.55,0.06,0.0,0.63,8.7
2,Mirae Asset Large Cap,59,19.58,0.929,10.51,0.859,1.246,7.88,0.11,0.0,0.54,8.7
3,Canara Robeco Bluechip,59,16.39,0.949,7.41,0.686,1.052,6.68,0.093,0.0,0.44,8.7
4,ICICI Pru Bluechip,59,12.31,0.917,3.49,0.481,1.092,2.92,0.11,0.0,1.26,8.7
5,SBI Bluechip,59,10.58,0.941,1.86,0.353,0.569,2.93,0.056,0.0,0.83,8.7
6,Axis Bluechip,59,7.03,1.047,-1.39,0.109,-0.193,6.55,-0.018,0.0,0.55,8.7
7,Nippon India Large Cap,59,4.41,0.005,-1.98,-4.554,-0.365,13.59,-0.399,0.2471,1.67,8.7
8,Kotak Bluechip,59,5.23,0.915,-2.06,0.033,-0.159,14.64,-0.012,0.0,0.58,8.7
9,DSP Top 100 Equity,59,-1.35,-0.0,-7.41,-127.454,-0.78,13.66,-10.957,0.7615,1.37,8.7
10,UTI Mastershare,59,-1.37,-0.001,-7.43,-65.186,-0.78,13.67,-5.639,0.3608,1.38,8.7
